question_id,question
1,"What's the average rental yield for 2-bedroom apartments in Seattle?"
2,"Compare investment opportunities between Portland and San Francisco"
3,"Show me market trends for Austin over the last 6 months"
4,"What are the best high-yield properties in Denver?"
5,"How has the Miami real estate market performed this year?"
6,"Find properties with yield above 6% in Atlanta"
7,"What's the average price per square foot for condos in Boston?"
8,"Compare Seattle vs Portland for rental investment"
9,"Show me investment opportunities under $500k in Austin"
10,"What's the market summary for downtown Chicago?"